algorithm,size,backend,oracle_shots,epsilon,batch
dj,4,aer_simulator,50,0.25,50
dj,4,fake_kyiv,50,0.25,50
dj,4,fake_marrakesh,50,0.25,50
dj,4,fake_sherbrooke,50,0.25,50
dj,5,aer_simulator,50,0.25,50
dj,5,fake_fez,50,0.25,50
dj,5,fake_kyiv,50,0.25,50
dj,5,fake_marrakesh,50,0.25,50
dj,5,fake_sherbrooke,50,0.25,50
dj,5,fake_torino,50,0.25,50
dj,6,aer_simulator,50,0.25,50
dj,6,fake_fez,50,0.25,50
dj,6,fake_kyiv,50,0.25,50
dj,6,fake_marrakesh,50,0.25,50
dj,6,fake_sherbrooke,50,0.25,50
dj,6,fake_torino,50,0.25,50
dj,7,aer_simulator,50,0.25,50
dj,7,fake_fez,50,0.25,50
dj,7,fake_kyiv,50,0.25,50
dj,7,fake_marrakesh,50,0.25,50
dj,7,fake_sherbrooke,50,0.25,50
dj,7,fake_torino,100,0.25,50
dj,8,aer_simulator,50,0.25,50
dj,8,fake_kyiv,50,0.25,50
dj,8,fake_sherbrooke,50,0.25,50
dj,8,fake_torino,50,0.25,50
dj,9,aer_simulator,50,0.25,50
dj,9,fake_fez,50,0.25,50
dj,9,fake_kyiv,50,0.25,50
dj,9,fake_marrakesh,50,0.25,50
dj,9,fake_sherbrooke,50,0.25,50
dj,9,fake_torino,50,0.25,50
dj,10,aer_simulator,50,0.25,50
dj,10,fake_kyiv,50,0.25,50
dj,10,fake_marrakesh,50,0.25,50
dj,10,fake_sherbrooke,50,0.25,50
dj,11,aer_simulator,50,0.25,50
dj,11,fake_fez,50,0.25,50
dj,11,fake_kyiv,50,0.25,50
dj,11,fake_marrakesh,50,0.25,50
dj,11,fake_sherbrooke,50,0.25,50
dj,11,fake_torino,50,0.25,50
dj,12,aer_simulator,50,0.25,50
dj,12,fake_fez,50,0.25,50
dj,12,fake_kyiv,50,0.25,50
dj,12,fake_marrakesh,50,0.25,50
dj,12,fake_sherbrooke,100,0.25,50
dj,12,fake_torino,50,0.25,50
dj,13,aer_simulator,50,0.25,50
dj,13,fake_fez,50,0.25,50
dj,13,fake_kyiv,100,0.25,50
dj,13,fake_marrakesh,50,0.25,50
dj,13,fake_sherbrooke,50,0.25,50
dj,13,fake_torino,50,0.25,50
dj,14,aer_simulator,50,0.25,50
dj,14,fake_kyiv,200,0.25,50
dj,14,fake_sherbrooke,50,0.25,50
dj,14,fake_torino,50,0.25,50
dj,15,aer_simulator,50,0.25,50
dj,15,fake_fez,50,0.25,50
dj,15,fake_kyiv,150,0.25,50
dj,15,fake_marrakesh,50,0.25,50
dj,15,fake_sherbrooke,150,0.25,50
dj,15,fake_torino,100,0.25,50
ghz,4,aer_simulator,50,0.25,50
ghz,4,fake_fez,50,0.25,50
ghz,4,fake_kyiv,50,0.25,50
ghz,4,fake_marrakesh,50,0.25,50
ghz,4,fake_sherbrooke,50,0.25,50
ghz,4,fake_torino,50,0.25,50
ghz,5,aer_simulator,50,0.25,50
ghz,5,fake_fez,50,0.25,50
ghz,5,fake_kyiv,50,0.25,50
ghz,5,fake_marrakesh,50,0.25,50
ghz,5,fake_sherbrooke,50,0.25,50
ghz,5,fake_torino,50,0.25,50
ghz,6,aer_simulator,50,0.25,50
ghz,6,fake_fez,50,0.25,50
ghz,6,fake_kyiv,50,0.25,50
ghz,6,fake_marrakesh,50,0.25,50
ghz,6,fake_sherbrooke,50,0.25,50
ghz,6,fake_torino,50,0.25,50
ghz,7,aer_simulator,50,0.25,50
ghz,7,fake_fez,50,0.25,50
ghz,7,fake_kyiv,50,0.25,50
ghz,7,fake_marrakesh,50,0.25,50
ghz,7,fake_sherbrooke,50,0.25,50
ghz,7,fake_torino,50,0.25,50
ghz,8,aer_simulator,50,0.25,50
ghz,8,fake_fez,50,0.25,50
ghz,8,fake_kyiv,50,0.25,50
ghz,8,fake_marrakesh,50,0.25,50
ghz,8,fake_sherbrooke,50,0.25,50
ghz,8,fake_torino,50,0.25,50
ghz,9,aer_simulator,50,0.25,50
ghz,9,fake_fez,50,0.25,50
ghz,9,fake_kyiv,50,0.25,50
ghz,9,fake_marrakesh,50,0.25,50
ghz,9,fake_sherbrooke,50,0.25,50
ghz,9,fake_torino,50,0.25,50
ghz,10,aer_simulator,50,0.25,50
ghz,10,fake_fez,50,0.25,50
ghz,10,fake_kyiv,50,0.25,50
ghz,10,fake_marrakesh,50,0.25,50
ghz,10,fake_sherbrooke,50,0.25,50
ghz,10,fake_torino,50,0.25,50
ghz,11,aer_simulator,50,0.25,50
ghz,11,fake_fez,50,0.25,50
ghz,11,fake_kyiv,50,0.25,50
ghz,11,fake_marrakesh,50,0.25,50
ghz,11,fake_sherbrooke,100,0.25,50
ghz,11,fake_torino,50,0.25,50
ghz,12,aer_simulator,50,0.25,50
ghz,12,fake_fez,50,0.25,50
ghz,12,fake_kyiv,50,0.25,50
ghz,12,fake_marrakesh,50,0.25,50
ghz,12,fake_sherbrooke,50,0.25,50
ghz,12,fake_torino,50,0.25,50
ghz,13,aer_simulator,50,0.25,50
ghz,13,fake_fez,50,0.25,50
ghz,13,fake_kyiv,50,0.25,50
ghz,13,fake_marrakesh,50,0.25,50
ghz,13,fake_sherbrooke,100,0.25,50
ghz,13,fake_torino,150,0.25,50
ghz,14,aer_simulator,50,0.25,50
ghz,14,fake_fez,50,0.25,50
ghz,14,fake_kyiv,50,0.25,50
ghz,14,fake_marrakesh,50,0.25,50
ghz,14,fake_sherbrooke,50,0.25,50
ghz,14,fake_torino,50,0.25,50
ghz,15,aer_simulator,50,0.25,50
ghz,15,fake_fez,50,0.25,50
ghz,15,fake_kyiv,100,0.25,50
ghz,15,fake_marrakesh,50,0.25,50
ghz,15,fake_sherbrooke,50,0.25,50
ghz,15,fake_torino,150,0.25,50
qaoa,4,aer_simulator,50,0.25,50
qaoa,4,fake_fez,50,0.25,50
qaoa,4,fake_kyiv,50,0.25,50
qaoa,4,fake_marrakesh,50,0.25,50
qaoa,4,fake_torino,50,0.25,50
qaoa,5,aer_simulator,50,0.25,50
qaoa,5,fake_fez,100,0.25,50
qaoa,5,fake_kyiv,100,0.25,50
qaoa,5,fake_marrakesh,50,0.25,50
qaoa,5,fake_sherbrooke,100,0.25,50
qaoa,5,fake_torino,100,0.25,50
qaoa,6,aer_simulator,100,0.25,50
qaoa,6,fake_fez,100,0.25,50
qaoa,6,fake_kyiv,150,0.25,50
qaoa,6,fake_sherbrooke,100,0.25,50
qaoa,6,fake_torino,100,0.25,50
qaoa,7,aer_simulator,150,0.25,50
qaoa,7,fake_fez,200,0.25,50
qaoa,7,fake_kyiv,250,0.25,50
qaoa,7,fake_marrakesh,200,0.25,50
qaoa,7,fake_sherbrooke,300,0.25,50
qaoa,7,fake_torino,250,0.25,50
qaoa,8,aer_simulator,100,0.25,50
qaoa,8,fake_fez,250,0.25,50
qaoa,8,fake_marrakesh,200,0.25,50
qaoa,8,fake_torino,300,0.25,50
qaoa,9,aer_simulator,250,0.25,50
qaoa,9,fake_fez,400,0.25,50
qaoa,9,fake_kyiv,750,0.25,50
qaoa,9,fake_marrakesh,350,0.25,50
qaoa,9,fake_sherbrooke,600,0.25,50
qaoa,9,fake_torino,450,0.25,50
qaoa,10,aer_simulator,300,0.25,50
qaoa,10,fake_fez,950,0.25,50
qaoa,10,fake_kyiv,1350,0.25,50
qaoa,10,fake_marrakesh,900,0.25,50
qaoa,10,fake_torino,1050,0.25,50
qaoa,11,aer_simulator,550,0.25,50
qaoa,11,fake_fez,1000,0.25,50
qaoa,11,fake_kyiv,1700,0.25,50
qaoa,11,fake_marrakesh,1000,0.25,50
qaoa,11,fake_sherbrooke,1450,0.25,50
qaoa,11,fake_torino,1250,0.25,50
qaoa,12,aer_simulator,750,0.25,50
qaoa,12,fake_fez,1700,0.25,50
qaoa,12,fake_kyiv,2700,0.25,50
qaoa,12,fake_sherbrooke,2300,0.25,50
qaoa,12,fake_torino,2300,0.25,50
qaoa,13,aer_simulator,1300,0.25,50
qaoa,13,fake_fez,2800,0.25,50
qaoa,13,fake_kyiv,4400,0.25,50
qaoa,13,fake_marrakesh,2450,0.25,50
qaoa,13,fake_sherbrooke,4000,0.25,50
qaoa,13,fake_torino,3750,0.25,50
qaoa,14,aer_simulator,450,0.25,50
qaoa,14,fake_fez,1700,0.25,50
qaoa,14,fake_marrakesh,1750,0.25,50
qaoa,14,fake_torino,3400,0.25,50
qaoa,15,aer_simulator,2400,0.25,50
qaoa,15,fake_fez,5350,0.25,50
qaoa,15,fake_kyiv,8450,0.25,50
qaoa,15,fake_marrakesh,5000,0.25,50
qaoa,15,fake_sherbrooke,7550,0.25,50
qaoa,15,fake_torino,7000,0.25,50
qft,4,aer_simulator,50,0.25,50
qft,4,fake_fez,50,0.25,50
qft,4,fake_kyiv,50,0.25,50
qft,4,fake_marrakesh,50,0.25,50
qft,4,fake_sherbrooke,50,0.25,50
qft,4,fake_torino,50,0.25,50
qft,5,aer_simulator,100,0.25,50
qft,5,fake_fez,100,0.25,50
qft,5,fake_kyiv,100,0.25,50
qft,5,fake_marrakesh,100,0.25,50
qft,5,fake_sherbrooke,100,0.25,50
qft,5,fake_torino,100,0.25,50
qft,6,aer_simulator,250,0.25,50
qft,6,fake_kyiv,200,0.25,50
qft,6,fake_marrakesh,150,0.25,50
qft,6,fake_sherbrooke,200,0.25,50
qft,7,aer_simulator,400,0.25,50
qft,7,fake_fez,300,0.25,50
qft,7,fake_kyiv,300,0.25,50
qft,7,fake_marrakesh,300,0.25,50
qft,7,fake_sherbrooke,350,0.25,50
qft,7,fake_torino,400,0.25,50
qft,8,aer_simulator,800,0.25,50
qft,8,fake_kyiv,500,0.25,50
qft,8,fake_marrakesh,750,0.25,50
qft,8,fake_sherbrooke,750,0.25,50
qft,9,aer_simulator,1350,0.25,50
qft,9,fake_fez,1100,0.25,50
qft,9,fake_kyiv,1150,0.25,50
qft,9,fake_marrakesh,1250,0.25,50
qft,9,fake_sherbrooke,1300,0.25,50
qft,9,fake_torino,1150,0.25,50
qft,10,aer_simulator,2300,0.25,50
qft,10,fake_fez,2300,0.25,50
qft,10,fake_kyiv,2250,0.25,50
qft,10,fake_marrakesh,2400,0.25,50
qft,10,fake_sherbrooke,2400,0.25,50
qft,10,fake_torino,2300,0.25,50
qft,11,aer_simulator,4200,0.25,50
qft,11,fake_fez,4100,0.25,50
qft,11,fake_kyiv,4100,0.25,50
qft,11,fake_marrakesh,4100,0.25,50
qft,11,fake_sherbrooke,4150,0.25,50
qft,11,fake_torino,4100,0.25,50
qft,12,aer_simulator,6750,0.25,50
qft,12,fake_kyiv,6950,0.25,50
qft,12,fake_marrakesh,6900,0.25,50
qft,12,fake_sherbrooke,6600,0.25,50
qft,13,aer_simulator,9750,0.25,50
qft,13,fake_fez,9750,0.25,50
qft,13,fake_kyiv,9800,0.25,50
qft,13,fake_marrakesh,9750,0.25,50
qft,13,fake_sherbrooke,9750,0.25,50
qft,13,fake_torino,9700,0.25,50
qft,14,aer_simulator,12650,0.25,50
qft,14,fake_kyiv,12700,0.25,50
qft,14,fake_marrakesh,12600,0.25,50
qft,14,fake_sherbrooke,12600,0.25,50
qft,15,aer_simulator,14050,0.25,50
qft,15,fake_fez,14050,0.25,50
qft,15,fake_kyiv,14050,0.25,50
qft,15,fake_marrakesh,14000,0.25,50
qft,15,fake_sherbrooke,14000,0.25,50
qft,15,fake_torino,14050,0.25,50
qnn,4,aer_simulator,50,0.25,50
qnn,4,fake_fez,50,0.25,50
qnn,4,fake_kyiv,50,0.25,50
qnn,4,fake_marrakesh,50,0.25,50
qnn,4,fake_sherbrooke,50,0.25,50
qnn,4,fake_torino,50,0.25,50
qnn,5,aer_simulator,50,0.25,50
qnn,5,fake_fez,100,0.25,50
qnn,5,fake_kyiv,100,0.25,50
qnn,5,fake_marrakesh,100,0.25,50
qnn,5,fake_sherbrooke,100,0.25,50
qnn,5,fake_torino,100,0.25,50
qnn,6,aer_simulator,100,0.25,50
qnn,6,fake_fez,150,0.25,50
qnn,6,fake_kyiv,150,0.25,50
qnn,6,fake_marrakesh,100,0.25,50
qnn,6,fake_sherbrooke,150,0.25,50
qnn,6,fake_torino,150,0.25,50
